t,IAA,IAAn,IBB,IBBn,IAB,IABn,IBA,IBAn
0.0232,1486000,49000,1301000,49000,476500,49000,473900,49000
0.0432,1293000,49000,1145000,49000,547500,49000,548000,49000
0.0632,1174000,47000,1006000,47000,555800,47000,704400,47000
0.0832,1052000,45000,921300,45000,567100,45000,713600,45000
0.1032,993400,44000,860200,44000,613500,44000,714200,44000
0.1432,835800,41000,710700,41000,526800,41000,664600,41000
0.2232,651100,37000,530700,37000,480000,37000,594600,37000
0.3032,492700,34000,382100,34000,437500,34000,470000,34000
0.5832,183600,25500,178300,25500,110800,25500,178500,25500
0.8032,58420,23000,8286,23000,10,23000,68090,23000
