t,IAA,IAAn,IBB,IBBn,IAB,IABn,IBA,IBAn
0.0232,2082000,49000,917700,49000,339100,49000,338100,49000
0.0432,1841000,49000,704200,49000,411700,49000,352200,49000
0.0632,1697000,47000,745200,47000,550200,47000,461400,47000
0.0832,1504000,45000,591200,45000,539800,45000,519200,45000
0.1032,1473000,44000,557600,44000,530300,44000,486100,44000
0.1432,1226000,41000,420300,41000,588400,41000,527300,41000
0.2232,987500,37000,350900,37000,416000,37000,501300,37000
0.3032,663600,34000,360700,34000,473700,34000,362000,34000
0.5832,250500,25500,71350,25500,91770,25500,138100,25500
0.8032,18650,23000,20100,23000,10,23000,33370,23000
